time,ciudad,temperatura
2025-05-31-00-00-00,Paraíso,23.06
2025-06-01-00-00-00,Santo Domingo,24.59
2025-06-01-00-00-00,La Sábana,26.19
2025-06-01-00-00-00,Paraíso,24.99
2025-06-02-00-00-00,Santo Domingo,22.13
2025-06-02-00-00-00,La Sábana,27.23
2025-06-02-00-00-00,Paraíso,19.70
2025-06-03-00-00-00,Santo Domingo,22.85
2025-06-03-00-00-00,La Sábana,24.57
2025-06-03-00-00-00,Paraíso,25.89
2025-06-04-00-00-00,Santo Domingo,22.22
2025-06-04-00-00-00,La Sábana,24.72
2025-06-04-00-00-00,Paraíso,25.36
2025-06-05-00-00-00,Santo Domingo,26.31
2025-06-05-00-00-00,La Sábana,23.02
2025-06-05-00-00-00,Paraíso,21.82
2025-06-06-00-00-00,Santo Domingo,23.13
2025-06-06-00-00-00,La Sábana,23.87
2025-06-06-00-00-00,Paraíso,20.72
2025-06-07-00-00-00,Santo Domingo,23.07
2025-06-07-00-00-00,La Sábana,23.77
2025-06-07-00-00-00,Paraíso,24.17
2025-06-08-00-00-00,Santo Domingo,24.14
2025-06-08-00-00-00,La Sábana,25.60
2025-06-08-00-00-00,Paraíso,22.25
2025-06-09-00-00-00,Santo Domingo,24.10
2025-06-09-00-00-00,La Sábana,23.02
2025-06-09-00-00-00,Paraíso,23.50
2025-06-10-00-00-00,Santo Domingo,24.34
2025-06-10-00-00-00,La Sábana,23.33
2025-06-10-00-00-00,Paraíso,24.48
2025-06-11-00-00-00,Santo Domingo,25.60
2025-06-11-00-00-00,La Sábana,27.15
2025-06-11-00-00-00,Paraíso,21.43
2025-06-12-00-00-00,Santo Domingo,24.94
2025-06-12-00-00-00,La Sábana,27.52
2025-06-12-00-00-00,Paraíso,25.61
2025-06-13-00-00-00,Santo Domingo,23.75
2025-06-13-00-00-00,La Sábana,24.16
2025-06-13-00-00-00,Paraíso,23.02
2025-06-14-00-00-00,Santo Domingo,24.35
2025-06-14-00-00-00,La Sábana,23.56
2025-06-14-00-00-00,Paraíso,25.87
2025-06-15-00-00-00,Santo Domingo,23.95
2025-06-15-00-00-00,La Sábana,25.25
2025-06-15-00-00-00,Paraíso,24.70
2025-06-16-00-00-00,Santo Domingo,23.59
2025-06-16-00-00-00,La Sábana,23.43
2025-06-16-00-00-00,Paraíso,20.60
2025-06-17-00-00-00,Santo Domingo,25.08
2025-06-17-00-00-00,La Sábana,27.23
2025-06-17-00-00-00,Paraíso,24.45
2025-06-18-00-00-00,Santo Domingo,26.48
2025-06-18-00-00-00,La Sábana,26.73
2025-06-18-00-00-00,Paraíso,19.44
2025-06-19-00-00-00,Santo Domingo,23.32
2025-06-19-00-00-00,La Sábana,24.60
2025-06-19-00-00-00,Paraíso,21.75
2025-06-20-00-00-00,Santo Domingo,22.62
2025-06-20-00-00-00,La Sábana,24.14
2025-06-20-00-00-00,Paraíso,23.79
2025-06-21-00-00-00,Santo Domingo,24.59
2025-06-21-00-00-00,La Sábana,23.01
2025-06-21-00-00-00,Paraíso,20.87
2025-06-22-00-00-00,Santo Domingo,24.16
2025-06-22-00-00-00,La Sábana,24.19
2025-06-22-00-00-00,Paraíso,21.95
2025-06-23-00-00-00,Santo Domingo,26.70
2025-06-23-00-00-00,La Sábana,26.29
2025-06-23-00-00-00,Paraíso,20.67
2025-06-24-00-00-00,Santo Domingo,22.13
2025-06-24-00-00-00,La Sábana,23.79
2025-06-24-00-00-00,Paraíso,25.07
2025-06-25-00-00-00,Santo Domingo,25.51
2025-06-25-00-00-00,La Sábana,23.18
2025-06-25-00-00-00,Paraíso,19.35
2025-06-26-00-00-00,Santo Domingo,23.92
2025-06-26-00-00-00,La Sábana,23.18
2025-06-26-00-00-00,Paraíso,20.64
2025-06-27-00-00-00,Santo Domingo,24.43
2025-06-27-00-00-00,La Sábana,23.02
2025-06-27-00-00-00,Paraíso,23.39
2025-06-28-00-00-00,Santo Domingo,26.78
2025-06-28-00-00-00,La Sábana,23.92
2025-06-28-00-00-00,Paraíso,19.88
2025-06-29-00-00-00,Santo Domingo,26.89
2025-06-29-00-00-00,La Sábana,27.89
2025-06-29-00-00-00,Paraíso,20.14
2025-06-30-00-00-00,Santo Domingo,22.65
2025-06-30-00-00-00,La Sábana,25.42
2025-06-30-00-00-00,Paraíso,25.87
2025-07-01-00-00-00,Santo Domingo,23.85
2025-07-01-00-00-00,La Sábana,27.30
2025-07-01-00-00-00,Paraíso,19.88
2025-07-02-00-00-00,Santo Domingo,22.55
2025-07-02-00-00-00,La Sábana,26.73
2025-07-02-00-00-00,Paraíso,23.99
2025-07-03-00-00-00,Santo Domingo,22.06
2025-07-03-00-00-00,La Sábana,23.34
2025-07-03-00-00-00,Paraíso,21.90
2025-07-04-00-00-00,Santo Domingo,22.73
2025-07-04-00-00-00,La Sábana,23.74
2025-07-04-00-00-00,Paraíso,24.87
2025-07-05-00-00-00,Santo Domingo,26.67
2025-07-05-00-00-00,La Sábana,24.04
2025-07-05-00-00-00,Paraíso,24.57
2025-07-06-00-00-00,Santo Domingo,25.13
2025-07-06-00-00-00,La Sábana,24.93
2025-07-06-00-00-00,Paraíso,20.90
2025-07-07-00-00-00,Santo Domingo,25.97
2025-07-07-00-00-00,La Sábana,25.83
2025-07-07-00-00-00,Paraíso,19.19
2025-07-08-00-00-00,Santo Domingo,22.79
2025-07-08-00-00-00,La Sábana,23.26
2025-07-08-00-00-00,Paraíso,25.05
2025-07-09-00-00-00,Santo Domingo,23.26
2025-07-09-00-00-00,La Sábana,27.65
2025-07-09-00-00-00,Paraíso,21.37
2025-07-10-00-00-00,Santo Domingo,23.06
2025-07-10-00-00-00,La Sábana,23.25
2025-07-10-00-00-00,Paraíso,21.29
2025-07-11-00-00-00,Santo Domingo,25.52
2025-07-11-00-00-00,La Sábana,23.43
2025-07-11-00-00-00,Paraíso,23.42
2025-07-12-00-00-00,Santo Domingo,25.28
2025-07-12-00-00-00,La Sábana,24.53
2025-07-12-00-00-00,Paraíso,23.48
2025-07-13-00-00-00,Santo Domingo,26.89
2025-07-13-00-00-00,La Sábana,23.06
2025-07-13-00-00-00,Paraíso,21.13
2025-07-14-00-00-00,Santo Domingo,25.72
2025-07-14-00-00-00,La Sábana,25.28
2025-07-14-00-00-00,Paraíso,22.42
2025-07-15-00-00-00,Santo Domingo,23.92
2025-07-15-00-00-00,La Sábana,26.13
2025-07-15-00-00-00,Paraíso,23.49
2025-07-16-00-00-00,Santo Domingo,24.05
2025-07-16-00-00-00,La Sábana,25.00
2025-07-16-00-00-00,Paraíso,20.28
2025-07-17-00-00-00,Santo Domingo,26.95
2025-07-17-00-00-00,La Sábana,27.84
2025-07-17-00-00-00,Paraíso,21.18
2025-07-18-00-00-00,Santo Domingo,26.77
2025-07-18-00-00-00,La Sábana,26.07
2025-07-18-00-00-00,Paraíso,24.77
2025-07-19-00-00-00,Santo Domingo,22.17
2025-07-19-00-00-00,La Sábana,24.08
2025-07-19-00-00-00,Paraíso,25.88
2025-07-20-00-00-00,Santo Domingo,22.59
2025-07-20-00-00-00,La Sábana,27.21
2025-07-20-00-00-00,Paraíso,25.37
2025-07-21-00-00-00,Santo Domingo,26.33
2025-07-21-00-00-00,La Sábana,25.95
2025-07-21-00-00-00,Paraíso,24.76
2025-07-22-00-00-00,Santo Domingo,24.83
2025-07-22-00-00-00,La Sábana,27.50
2025-07-22-00-00-00,Paraíso,20.97
2025-07-23-00-00-00,Santo Domingo,24.55
2025-07-23-00-00-00,La Sábana,24.45
2025-07-23-00-00-00,Paraíso,23.70
2025-07-24-00-00-00,Santo Domingo,22.88
2025-07-24-00-00-00,La Sábana,23.39
2025-07-24-00-00-00,Paraíso,24.11
2025-07-25-00-00-00,Santo Domingo,24.30
2025-07-25-00-00-00,La Sábana,25.54
2025-07-25-00-00-00,Paraíso,24.79
2025-07-26-00-00-00,Santo Domingo,24.30
2025-07-26-00-00-00,La Sábana,27.70
2025-07-26-00-00-00,Paraíso,20.58
2025-07-27-00-00-00,Santo Domingo,23.79
2025-07-27-00-00-00,La Sábana,25.36
2025-07-27-00-00-00,Paraíso,21.14
2025-07-28-00-00-00,Santo Domingo,24.89
2025-07-28-00-00-00,La Sábana,23.20
2025-07-28-00-00-00,Paraíso,23.55
2025-07-29-00-00-00,Santo Domingo,26.53
2025-07-29-00-00-00,La Sábana,24.67
2025-07-29-00-00-00,Paraíso,19.75
2025-07-30-00-00-00,Santo Domingo,22.71
2025-07-30-00-00-00,La Sábana,23.23
2025-07-30-00-00-00,Paraíso,23.53
2025-07-31-00-00-00,Santo Domingo,24.78
2025-07-31-00-00-00,La Sábana,23.84
2025-07-31-00-00-00,Paraíso,22.23
2025-08-01-00-00-00,Santo Domingo,26.64
2025-08-01-00-00-00,La Sábana,23.25
2025-08-01-00-00-00,Paraíso,25.42
2025-08-02-00-00-00,Santo Domingo,23.45
2025-08-02-00-00-00,La Sábana,27.79
2025-08-02-00-00-00,Paraíso,21.90
2025-08-03-00-00-00,Santo Domingo,23.79
2025-08-03-00-00-00,La Sábana,26.07
2025-08-03-00-00-00,Paraíso,19.77
2025-08-04-00-00-00,Santo Domingo,25.25
2025-08-04-00-00-00,La Sábana,25.58
2025-08-04-00-00-00,Paraíso,25.05
2025-08-05-00-00-00,Santo Domingo,26.91
2025-08-05-00-00-00,La Sábana,27.33
2025-08-05-00-00-00,Paraíso,19.93
2025-08-06-00-00-00,Santo Domingo,22.66
2025-08-06-00-00-00,La Sábana,24.20
2025-08-06-00-00-00,Paraíso,22.12
2025-08-07-00-00-00,Santo Domingo,23.44
2025-08-07-00-00-00,La Sábana,26.53
2025-08-07-00-00-00,Paraíso,24.00
2025-08-08-00-00-00,Santo Domingo,24.66
2025-08-08-00-00-00,La Sábana,23.30
2025-08-08-00-00-00,Paraíso,19.59
2025-08-09-00-00-00,Santo Domingo,25.96
2025-08-09-00-00-00,La Sábana,25.73
2025-08-09-00-00-00,Paraíso,23.67
2025-08-10-00-00-00,Santo Domingo,24.79
2025-08-10-00-00-00,La Sábana,27.27
2025-08-10-00-00-00,Paraíso,20.03
2025-08-11-00-00-00,Santo Domingo,24.04
2025-08-11-00-00-00,La Sábana,27.50
2025-08-11-00-00-00,Paraíso,19.10
2025-08-12-00-00-00,Santo Domingo,23.30
2025-08-12-00-00-00,La Sábana,27.85
2025-08-12-00-00-00,Paraíso,20.98
2025-08-13-00-00-00,Santo Domingo,25.70
2025-08-13-00-00-00,La Sábana,27.44
2025-08-13-00-00-00,Paraíso,25.24
2025-08-14-00-00-00,Santo Domingo,23.73
2025-08-14-00-00-00,La Sábana,24.23
2025-08-14-00-00-00,Paraíso,21.50
2025-08-15-00-00-00,Santo Domingo,25.91
2025-08-15-00-00-00,La Sábana,27.77
2025-08-15-00-00-00,Paraíso,25.55
2025-08-16-00-00-00,Santo Domingo,24.81
2025-08-16-00-00-00,La Sábana,27.98
2025-08-16-00-00-00,Paraíso,25.47
2025-08-17-00-00-00,Santo Domingo,27.00
2025-08-17-00-00-00,La Sábana,26.56
2025-08-17-00-00-00,Paraíso,20.55
2025-08-18-00-00-00,Santo Domingo,24.97
2025-08-18-00-00-00,La Sábana,24.36
2025-08-18-00-00-00,Paraíso,19.39
2025-08-19-00-00-00,Santo Domingo,23.00
2025-08-19-00-00-00,La Sábana,25.67
2025-08-19-00-00-00,Paraíso,21.55
2025-08-20-00-00-00,Santo Domingo,26.61
2025-08-20-00-00-00,La Sábana,27.53
2025-08-20-00-00-00,Paraíso,19.04
2025-08-21-00-00-00,Santo Domingo,23.28
2025-08-21-00-00-00,La Sábana,25.76
2025-08-21-00-00-00,Paraíso,20.21
2025-08-22-00-00-00,Santo Domingo,25.52
2025-08-22-00-00-00,La Sábana,25.23
2025-08-22-00-00-00,Paraíso,19.67
2025-08-23-00-00-00,Santo Domingo,22.13
2025-08-23-00-00-00,La Sábana,27.30
2025-08-23-00-00-00,Paraíso,25.27
2025-08-24-00-00-00,Santo Domingo,26.43
2025-08-24-00-00-00,La Sábana,23.92
2025-08-24-00-00-00,Paraíso,20.75
2025-08-25-00-00-00,Santo Domingo,26.33
2025-08-25-00-00-00,La Sábana,26.92
2025-08-25-00-00-00,Paraíso,24.48
2025-08-26-00-00-00,Santo Domingo,26.85
2025-08-26-00-00-00,La Sábana,24.72
2025-08-26-00-00-00,Paraíso,24.77
2025-08-27-00-00-00,Santo Domingo,26.86
2025-08-27-00-00-00,La Sábana,25.04
2025-08-27-00-00-00,Paraíso,20.17
2025-08-28-00-00-00,Santo Domingo,26.38
2025-08-28-00-00-00,La Sábana,27.51
2025-08-28-00-00-00,Paraíso,23.83
2025-08-29-00-00-00,Santo Domingo,24.86
2025-08-29-00-00-00,La Sábana,26.29
2025-08-29-00-00-00,Paraíso,24.56
2025-08-30-00-00-00,Santo Domingo,24.34
2025-08-30-00-00-00,La Sábana,27.25
2025-08-30-00-00-00,Paraíso,20.49
2025-08-31-00-00-00,Santo Domingo,24.57
2025-08-31-00-00-00,La Sábana,27.32
2025-08-31-00-00-00,Paraíso,25.86
2025-09-01-00-00-00,Santo Domingo,22.11
2025-09-01-00-00-00,La Sábana,27.81
2025-09-01-00-00-00,Paraíso,20.57
2025-09-02-00-00-00,Santo Domingo,24.30
2025-09-02-00-00-00,La Sábana,25.68
2025-09-02-00-00-00,Paraíso,25.27
2025-09-03-00-00-00,Santo Domingo,24.20
2025-09-03-00-00-00,La Sábana,24.37
2025-09-03-00-00-00,Paraíso,19.85
2025-09-04-00-00-00,Santo Domingo,24.82
2025-09-04-00-00-00,La Sábana,27.08
2025-09-04-00-00-00,Paraíso,23.38
2025-09-05-00-00-00,Santo Domingo,23.33
2025-09-05-00-00-00,La Sábana,23.30
2025-09-05-00-00-00,Paraíso,25.44
2025-09-06-00-00-00,Santo Domingo,26.34
2025-09-06-00-00-00,La Sábana,25.11
2025-09-06-00-00-00,Paraíso,20.83
2025-09-07-00-00-00,Santo Domingo,26.72
2025-09-07-00-00-00,La Sábana,26.98
2025-09-07-00-00-00,Paraíso,22.75
2025-09-08-00-00-00,Santo Domingo,26.73
2025-09-08-00-00-00,La Sábana,26.37
2025-09-08-00-00-00,Paraíso,24.99
2025-09-09-00-00-00,Santo Domingo,24.84
2025-09-09-00-00-00,La Sábana,24.72
2025-09-09-00-00-00,Paraíso,24.30
2025-09-10-00-00-00,Santo Domingo,26.25
2025-09-10-00-00-00,La Sábana,25.06
2025-09-10-00-00-00,Paraíso,25.29
2025-09-11-00-00-00,Santo Domingo,23.93
2025-09-11-00-00-00,La Sábana,24.61
2025-09-11-00-00-00,Paraíso,24.02
2025-09-12-00-00-00,Santo Domingo,26.59
2025-09-12-00-00-00,La Sábana,24.75
2025-09-12-00-00-00,Paraíso,24.41
2025-09-13-00-00-00,Santo Domingo,23.35
2025-09-13-00-00-00,La Sábana,24.52
2025-09-13-00-00-00,Paraíso,19.45
2025-09-14-00-00-00,Santo Domingo,23.73
2025-09-14-00-00-00,La Sábana,23.25
2025-09-14-00-00-00,Paraíso,19.71
2025-09-15-00-00-00,Santo Domingo,23.45
2025-09-15-00-00-00,La Sábana,25.59
2025-09-15-00-00-00,Paraíso,21.93
2025-09-16-00-00-00,Santo Domingo,22.02
2025-09-16-00-00-00,La Sábana,25.04
2025-09-16-00-00-00,Paraíso,20.18
2025-09-17-00-00-00,Santo Domingo,22.42
2025-09-17-00-00-00,La Sábana,25.66
2025-09-17-00-00-00,Paraíso,23.77
2025-09-18-00-00-00,Santo Domingo,25.88
2025-09-18-00-00-00,La Sábana,24.62
2025-09-18-00-00-00,Paraíso,24.50
2025-09-19-00-00-00,Santo Domingo,22.23
2025-09-19-00-00-00,La Sábana,23.03
2025-09-19-00-00-00,Paraíso,25.20
2025-09-20-00-00-00,Santo Domingo,22.38
2025-09-20-00-00-00,La Sábana,24.31
2025-09-20-00-00-00,Paraíso,20.84
2025-09-21-00-00-00,Santo Domingo,25.40
2025-09-21-00-00-00,La Sábana,27.60
2025-09-21-00-00-00,Paraíso,24.67
2025-09-22-00-00-00,Santo Domingo,25.24
2025-09-22-00-00-00,La Sábana,24.40
2025-09-22-00-00-00,Paraíso,22.01
2025-09-23-00-00-00,Santo Domingo,22.20
2025-09-23-00-00-00,La Sábana,23.25
2025-09-23-00-00-00,Paraíso,20.09
2025-09-24-00-00-00,Santo Domingo,24.32
2025-09-24-00-00-00,La Sábana,26.82
2025-09-24-00-00-00,Paraíso,22.01
2025-09-25-00-00-00,Santo Domingo,26.43
2025-09-25-00-00-00,La Sábana,24.40
2025-09-25-00-00-00,Paraíso,24.11
2025-09-26-00-00-00,Santo Domingo,24.13
2025-09-26-00-00-00,La Sábana,24.87
2025-09-26-00-00-00,Paraíso,19.70
2025-09-27-00-00-00,Santo Domingo,26.86
2025-09-27-00-00-00,La Sábana,24.64
2025-09-27-00-00-00,Paraíso,20.26
2025-09-28-00-00-00,Santo Domingo,23.95
2025-09-28-00-00-00,La Sábana,23.30
2025-09-28-00-00-00,Paraíso,19.06
2025-09-29-00-00-00,Santo Domingo,26.47
2025-09-29-00-00-00,La Sábana,26.40
2025-09-29-00-00-00,Paraíso,25.29
2025-09-30-00-00-00,Santo Domingo,22.11
2025-09-30-00-00-00,La Sábana,24.62
2025-09-30-00-00-00,Paraíso,22.46
2025-10-01-00-00-00,Santo Domingo,23.91
2025-10-01-00-00-00,La Sábana,23.89
2025-10-01-00-00-00,Paraíso,23.16
2025-10-02-00-00-00,Santo Domingo,26.61
2025-10-02-00-00-00,La Sábana,25.15
2025-10-02-00-00-00,Paraíso,25.26
2025-10-03-00-00-00,Santo Domingo,25.23
2025-10-03-00-00-00,La Sábana,23.96
2025-10-03-00-00-00,Paraíso,24.42
2025-10-04-00-00-00,Santo Domingo,24.06
2025-10-04-00-00-00,La Sábana,26.89
2025-10-04-00-00-00,Paraíso,24.26
2025-10-05-00-00-00,Santo Domingo,26.56
2025-10-05-00-00-00,La Sábana,23.78
2025-10-05-00-00-00,Paraíso,25.31
2025-10-06-00-00-00,Santo Domingo,24.37
2025-10-06-00-00-00,La Sábana,27.68
2025-10-06-00-00-00,Paraíso,22.63
2025-10-07-00-00-00,Santo Domingo,25.44
2025-10-07-00-00-00,La Sábana,23.52
2025-10-07-00-00-00,Paraíso,21.65
2025-10-08-00-00-00,Santo Domingo,22.10
2025-10-08-00-00-00,La Sábana,23.67
2025-10-08-00-00-00,Paraíso,21.35
2025-10-09-00-00-00,Santo Domingo,26.53
2025-10-09-00-00-00,La Sábana,24.68
2025-10-09-00-00-00,Paraíso,25.01
2025-10-10-00-00-00,Santo Domingo,22.69
2025-10-10-00-00-00,La Sábana,24.01
2025-10-10-00-00-00,Paraíso,19.88
2025-10-11-00-00-00,Santo Domingo,26.42
2025-10-11-00-00-00,La Sábana,25.77
2025-10-11-00-00-00,Paraíso,19.15
2025-10-12-00-00-00,Santo Domingo,23.28
2025-10-12-00-00-00,La Sábana,26.17
2025-10-12-00-00-00,Paraíso,24.66
2025-10-13-00-00-00,Santo Domingo,23.37
2025-10-13-00-00-00,La Sábana,24.35
2025-10-13-00-00-00,Paraíso,21.69
2025-10-14-00-00-00,Santo Domingo,23.78
2025-10-14-00-00-00,La Sábana,25.39
2025-10-14-00-00-00,Paraíso,19.94
2025-10-15-00-00-00,Santo Domingo,23.41
2025-10-15-00-00-00,La Sábana,25.25
2025-10-15-00-00-00,Paraíso,20.74
